0,0.000,0.000,0.000,0.000,0
0,0.000,0.000,0.000,0.000,1
0,0.000,0.000,0.000,0.000,2
0,0.000,0.000,0.000,0.000,3
0,0.000,0.000,0.000,0.000,4
1000,0.000,0.000,0.000,0.000,0
1000,0.000,0.000,0.000,0.000,1
1000,0.000,0.000,0.000,0.002,2
1000,0.002,0.004,0.002,0.009,3
1000,0.002,0.005,0.002,0.009,4
2000,0.000,0.000,0.000,0.000,0
2000,0.000,0.000,0.000,0.002,1
2000,0.002,0.003,0.002,0.011,2
2000,0.003,0.006,0.003,0.012,3
2000,0.004,0.008,0.003,0.012,4
3000,0.000,0.000,0.000,0.000,0
3000,0.000,0.001,0.000,0.005,1
3000,0.003,0.005,0.004,0.016,2
3000,0.004,0.007,0.004,0.016,3
3000,0.008,0.015,0.006,0.019,4
4000,0.000,0.000,0.000,0.000,0
4000,0.000,0.000,0.000,0.005,1
4000,0.003,0.005,0.004,0.015,2
4000,0.004,0.007,0.004,0.015,3
4000,0.007,0.013,0.005,0.018,4
5000,0.000,0.000,0.000,0.000,0
5000,0.000,0.001,0.001,0.008,1
5000,0.004,0.007,0.005,0.021,2
5000,0.006,0.011,0.006,0.021,3
5000,0.009,0.018,0.007,0.024,4
6000,0.000,0.000,0.000,0.000,0
6000,0.000,0.001,0.001,0.008,1
6000,0.004,0.006,0.004,0.018,2
6000,0.006,0.011,0.006,0.020,3
6000,0.012,0.026,0.009,0.027,4
7000,0.000,0.000,0.000,0.000,0
7000,0.000,0.001,0.001,0.010,1
7000,0.005,0.008,0.006,0.026,2
7000,0.010,0.018,0.009,0.034,3
7000,0.014,0.029,0.012,0.039,4
8000,0.000,0.000,0.000,0.000,0
8000,0.000,0.002,0.001,0.009,1
8000,0.007,0.013,0.009,0.037,2
8000,0.010,0.021,0.011,0.039,3
8000,0.016,0.032,0.014,0.043,4
9000,0.000,0.000,0.000,0.000,0
9000,0.001,0.002,0.001,0.012,1
9000,0.007,0.012,0.008,0.035,2
9000,0.011,0.023,0.012,0.044,3
9000,0.021,0.044,0.017,0.052,4
10000,0.000,0.000,0.000,0.000,0
10000,0.001,0.004,0.003,0.016,1
10000,0.006,0.011,0.008,0.031,2
10000,0.016,0.030,0.017,0.056,3
10000,0.025,0.050,0.021,0.063,4
11000,0.000,0.000,0.000,0.000,0
11000,0.001,0.004,0.004,0.020,1
11000,0.009,0.019,0.014,0.056,2
11000,0.020,0.037,0.021,0.068,3
11000,0.030,0.058,0.025,0.076,4
12000,0.000,0.000,0.000,0.000,0
12000,0.002,0.005,0.004,0.017,1
12000,0.008,0.018,0.014,0.049,2
12000,0.020,0.037,0.022,0.072,3
12000,0.031,0.062,0.028,0.081,4
13000,0.000,0.000,0.000,0.000,0
13000,0.002,0.005,0.003,0.015,1
13000,0.011,0.020,0.015,0.054,2
13000,0.020,0.035,0.020,0.067,3
13000,0.031,0.059,0.026,0.078,4
14000,0.000,0.000,0.000,0.000,0
14000,0.002,0.007,0.005,0.022,1
14000,0.013,0.026,0.019,0.071,2
14000,0.025,0.043,0.026,0.087,3
14000,0.039,0.078,0.035,0.098,4
15000,0.000,0.000,0.000,0.000,0
15000,0.003,0.005,0.004,0.018,1
15000,0.012,0.021,0.016,0.064,2
15000,0.021,0.040,0.022,0.070,3
15000,0.035,0.070,0.030,0.084,4
16000,0.000,0.000,0.000,0.000,0
16000,0.003,0.006,0.003,0.018,1
16000,0.013,0.023,0.018,0.068,2
16000,0.022,0.045,0.024,0.078,3
16000,0.041,0.084,0.034,0.093,4
17000,0.000,0.000,0.000,0.000,0
17000,0.004,0.009,0.007,0.031,1
17000,0.017,0.028,0.020,0.082,2
17000,0.028,0.054,0.029,0.091,3
17000,0.042,0.082,0.037,0.105,4
18000,0.000,0.000,0.000,0.000,0
18000,0.005,0.010,0.007,0.033,1
18000,0.017,0.031,0.023,0.083,2
18000,0.029,0.056,0.030,0.096,3
18000,0.049,0.097,0.042,0.114,4
19000,0.000,0.000,0.000,0.000,0
19000,0.006,0.011,0.009,0.038,1
19000,0.014,0.027,0.020,0.081,2
